[[FileID]],[[LineID]],[[Character]],[[English]],[[Japanese]],[[MTrans]],[[メモ]],[[管理要メモ]],[[Sequence]]
Adler_ConversationA,REN_0001,REN(男),"Jesus, that house is huge. That lady really knew how to live.",,イエスは、その家は巨大です。その女性は本当に生きる方法を知っていました。,,,1
Adler_ConversationA,REN_0002,REN(男),"It’s like the, uh, Chateau… de… Adler.",,それは、ええと、シャトー...デ...アドラーようなものです。,,,2
Adler_ConversationA,NONA_0001,NONA,"Yeah, uh, cool.",,クール、ええと、うん。,,,3
Adler_ConversationA,REN_0003,REN(男),"But yeah, isn’t this house insane?",,しかし、ええ、この家の非常識ではないでしょうか？,,,4
Adler_ConversationA,REN_0004,REN(男),It’s ridiculous.,,バカバカしい。,,,5
Adler_ConversationA,REN_0005,REN(男),I could fit my entire house <i>in</i> it.,,私は私の全体の家<I>で</ I>それを合うことができます。,,,6
Adler_ConversationA,ALEX_0001,ALEX(女),How did she get so rich if she was just like a... communications person or whatever in the military?,,彼女はちょうど軍で...通信人または何のようなものだった場合、どのように彼女はとても金持ちましたか？,,,7
Adler_ConversationA,REN_0006,REN(男),"I think I said when we got here, her family like owned part of the island or something...",,私たちはここに来たとき、私は島か何かの所有一部のような彼女の家族、言ったと思います...,,,8
Adler_ConversationA,REN_0007,REN(男),"I think she just inherited a lot, honestly.",,私は彼女がちょうど正直に、多くを継承したと思います。,,,9
Adler_ConversationA,ALEX_0002,ALEX(女),She does have a boat.,,彼女はボートを持っています。,,,10
Adler_ConversationA,REN_0008,REN(男),"Yeah, see? Allie knew what she was talking about.",,うん、参照してください？アリーは彼女が話していた知っていました。,,,11
Adler_ConversationA,REN_0009,REN(男),"She <i>should</i>, anyway... I mean, she had to schlep back and forth here all summer.",,彼女は<i>がなければならない</ I>、とにかく...私は意味、彼女はすべての夏ここに前後にschlepしなければなりませんでした。,,,12
Adler_ConversationA,ALEX_0003,ALEX(女),There is something up with her.,,彼女と何かアップがあります。,,,13
Adler_ConversationA,ALEX_0004,ALEX(女),"She has this giant house, she’s burying like secret messages all over the place. I mean, this is crazy.",,彼女はすべての場所で秘密のメッセージのように埋め込んだ、この巨大な家を持っています。私は意味、これはクレイジーです。,,,14
Adler_ConversationA,NONA_0002,NONA,"Yeah, and we can leave it to Scrappy Doo or whoever to figure it out.",,ええ、私たちはそれを把握するためにスクラッピドゥーや誰にそれを残すことができます。,,,15
Adler_ConversationA,JONAS_0001,JONAS(男),"What's a ""Scrappy Doo?",,「スクラッピドゥーは何ですか？,,,16
Adler_ConversationA,ALEX_0005,ALEX(女),"Yeah, but we could figure it out! Aren’t you the least bit curious?",,うん、私たちはそれを把握することができます！あなたは、少なくともビット好奇心ではありませんか？,,,17
Adler_ConversationA,NONA_0004,NONA,"There’s not gonna be a sunken pirate ship at the end of this, Alex, it’s just a wrecked submarine.",,このの終わりに沈没海賊船もつもりはありません、アレックスは、それだけで難破潜水艦です。,,,18
Adler_ConversationA,REN_0010,REN(男),"Yeah, and if you’re really so anxious you can come back on your own time. I just want to get home.",,うん、あなたは本当にあなたがあなた自身の時間に戻って来ることができるので、心配している場合。私はちょうど家を取得したいです。,,,19
Adler_ConversationA,ALEX_0006,ALEX(女),I… guess.,,私は推測する。,,,20
Adler_ConversationA,REN_0011,REN(男),"Yes, but we got the point and I agree, let’s just get out of here.",,はい、我々はポイントを持って、私は同意し、ちょうどここから出てみましょう。,,,21
Adler_ConversationB,ALEX_0001,NONA,"Oh… oh, it’s like a... It’s a boat that needs keys, there are no oars. ",,ああ...ああ、それはようなものだ...それはキーを必要とする船だ、何のオールはありません。,,,1
Adler_ConversationB,REN_0001,REN(男),"And before we go crazy it’s not... It wasn’t with Maggie’s stuff back at the office, like with the radio?",,私たちは夢中になる前に、それはありませんと...それはラジオと同じように、バックオフィスでのマギーのものではなかったですか？,,,2
Adler_ConversationB,JONAS_0001,JONAS(男),"No, we checked everything.",,いいえ、私たちはすべてをチェックします。,,,3
Adler_ConversationB,ALEX_0004,ALEX(女),"Okay, well, I mean, if the boat plan doesn’t work, there’s still a big house like right there and it probably has a phone.",,さて、まあ、ボートの計画が動作しない場合、私は、意味、そこのような大きな家はすぐそこにまだだし、それはおそらく、携帯電話を持っています。,,,4
Adler_ConversationB,ALEX_0005,ALEX(女),We can just call somebody to pick us up.,,私達はちょうど私たちを迎えに誰かを呼び出すことができます。,,,5
Adler_ConversationB,JONAS_0007,JONAS(男),How would we know? You’re the one that went.,,どのように我々は知っているだろうか？あなたは行き​​ました1です。,,,6
Adler_ConversationB,NONA_0004,NONA,"No, we looked through all of her stuff, I think.",,いいえ、私たちは彼女のもののすべてを見て、私は思います。,,,7
Adler_ConversationB,REN_0003,REN(男),"Huh… well, uh...",,はぁ...まあ、ええと...,,,8
Adler_ConversationB,NONA_0005,NONA,What’s Plan B if we can’t find it?,,我々はそれを見つけることができない場合はプランBは何ですか？,,,9
Adler_ConversationB,JONAS_0008,JONAS(男),"Um, plan B was four hours ago. I think we’re like on Plan F.",,あの、プランBは4時間前でした。私たちは計画F.に似ていると思います,,,10
Adler_ConversationB,ALEX_0006,ALEX(女),"The keys, they... They have to be in the house. For the movers or her family, you know?",,キーは、彼らは...彼らは家でなければなりません。引っ越しや彼女の家族のために、あなたは知っていますか？,,,11
Adler_ConversationB,ALEX_0007,ALEX(女),"Well, let’s say we find the keys. Does anyone even know how to drive this thing, anyway?",,さて、私たちは鍵を見つけましょう。誰でも、とにかく、この事を駆動するための方法を知っていますか？,,,12
Adler_ConversationB,JONAS_0009,JONAS(男),"Yeah, you just pull the thing and steer the… doohickey.",,うん、あなただけのものを引くと...小道具を操縦します。,,,13
Adler_ConversationB,REN_0004,REN(男),"Oh, I am very impressed.",,ああ、私は非常に感銘を受けています。,,,14
Adler_ConversationB,NONA_0006,NONA,She has to have keys somewhere. Maybe they’re inside.,,彼女はどこかのキーを持っている必要があります。おそらく彼らは、内部のです。,,,15
Adler_ConversationB,JONAS_0002,JONAS(男),That’s as good a guess as any.,,それはどのような推測として良いことです。,,,16
Adler_ConversationC,CLARISSA_0001,CLARISSA,Finally.,,最後に。,,,1
Adler_ConversationC,NONA_0001,NONA,"Clarissa, Jesus.",,クラリッサ、イエス。,,,2
Adler_ConversationC,JONAS_0001,JONAS(男),"Oh my God, you scared me.",,私の神ああ、あなたは私を怖がらせました。,,,3
Adler_ConversationC,JONAS_0002,JONAS(男),"I thought you were, like, Maggie Adler’s dead body or something.",,私はあなたがマギーアドラーの死体か何か、のような、と思っていました。,,,4
Adler_ConversationC,NONA_0002,NONA,How would that make sense?,,どのようにそれは理にかなって？,,,5
Adler_ConversationC,JONAS_0003,JONAS(男),"I don’t know, I’m in like a heightened state right now.",,私は今高まっ状態のようでね、知りません。,,,6
Adler_ConversationC,ALEX_0001,ALEX(女),"How’d you get in here? The door was locked. Do you have, like, a radio?",,どうやっはここで取得しますか？ドアがロックされていました。あなたは、のような、ラジオを持っていますか？,,,7
Adler_ConversationC,CLARISSA_0002,CLARISSA,"No, I don’t have a radio. The kitchen window was open.",,いいえ、私はラジオを持っていません。台所の窓が開いていました。,,,8
Adler_ConversationC,REN_0001,REN(男),Kitchen window?,,台所の窓？,,,9
Adler_ConversationC,REN_0002,REN(男),Where?,,どこで？,,,10
Adler_ConversationC,CLARISSA_0003,CLARISSA,In the back. In the kitchen.,,後ろに。台所に。,,,11
Adler_ConversationC,ALEX_0002,ALEX(女),I don’t believe you. These windows don’t even-- they don’t work like that.,,私はあなたを信じていません。これらのウィンドウは、彼らがそのように動作しないeven--ません。,,,12
Adler_ConversationC,CLARISSA_0004,CLARISSA,"How would you know, you’ve never been here!",,どのようにあなたが知っているだろう、あなたはここに行ったことがありません！,,,13
Adler_ConversationC,ALEX_0003,ALEX(女),Okay. Sure.,,はい。確かに。,,,14
Adler_ConversationC,ALEX_0004,ALEX(女),"Clarissa, where have you been? After we saw you in town, you just--",,クラリッサ、どこに行っていましたの？私たちは町であなたを見た後、あなたはjust--,,,15
Adler_ConversationC,CLARISSA_0005,CLARISSA,"Hey, I could ask you the same thing! It was like I sneezed and you were gone.",,ねえ、私はあなたに同じことを求めることができます！私はくしゃみ、あなたがなくなっていたようでした。,,,16
Adler_ConversationC,CLARISSA_0006,CLARISSA,"I ended up in the fields and just decided to come here and, like, wait it out.",,私は、フィールドで終わったし、ちょうどここに来て、同じように、それを待つことにしました。,,,17
Adler_ConversationC,CLARISSA_0007,CLARISSA,I haven’t seen anybody since.,,私は、以来、誰も見ていません。,,,18
Adler_ConversationC,CLARISSA_0008,CLARISSA,So… I thought I’d camp it up.,,だから... ...私はそれをキャンプしようと思いました。,,,19
Adler_ConversationC,ALEX_0005,ALEX(女),"And then how’d you get past the gate? It’s like a slab of wrought iron, it looked impossible to climb.",,そして、どうやってゲートを乗り越えますか？それは登ることは不可能だった、錬鉄のスラブのようなものです。,,,20
Adler_ConversationC,CLARISSA_0009,CLARISSA,"Well, apparently it’s not that impossible since, you know, I’m here.",,さて、どうやらそれはあなたが知っている、以来、それは不可能ではないですが、私はここにいます。,,,21
Adler_ConversationC,CLARISSA_0010,CLARISSA,"Not when my life’s in peril, Christ.",,私の人生は、危険にさらされてキリストのいないとき。,,,22
