[[FileID]],[[Name]],[[ID]],[[English]],[[Japanese]],[[MTrans]],[[Sequence]]
Characters,char_RADIO,#RADIO,RADIO,ラジオ,無線,1
Characters,char_GHOST,#GHOST,GHOST,幽霊,幽霊,2
Characters,char_TOUR GUIDE,#TOUR GUIDE,TOUR GUIDE,ツアーガイド,ガイド,3
Characters,char_ALEX,#ALEX,ALEX,アレックス,ALEX,4
Characters,char_JONAS,#JONAS,JONAS,ジョナス,JONAS,5
Characters,char_REN,#REN,REN,レン,REN,6
Characters,char_CLARISSA,#CLARISSA,CLARISSA,クラリッサ,クラリッサ,7
Characters,char_NONA,#NONA,NONA,ノーナ,NINTH,8
Characters,char_MICHAEL,#MICHAEL,MICHAEL,マイケル,MICHAEL,9
Choices,Ferry_ConversationA_8843620left,#944731088,My mind drifted.,別のこと考えてた。,私の心が漂いました。,1
Choices,Ferry_ConversationA_8843620right,#183323667,"Yeah, sorry.",ああ、ごめん。,ええ、申し訳ありません。,2
Choices,Ferry_ConversationA_8843620top,#973542345,I'm listening.,聞いてるよ。,私が聞いている。,3
Choices,Ferry_ConversationA_6319601left,#363954946,Edwards Island,エドワード島,エドワーズ島,4
Choices,Ferry_ConversationA_6319601right,#521377200,"Uh, Bird Island or whatever.",ええと、鳥の島がどうのとか,ええと、バード島または何でも。,5
Choices,Ferry_ConversationA_6319601top,#128365965,Something something cookies?,ほにゃららクッキー？,何かが何かクッキー？,6
Choices,Ferry_ConversationA_7930419left,#186386847,I do not!,知らない！,私はしません！,7
Choices,Ferry_ConversationA_7930419right,#646973156,Do I?,私が？,私はありますか？,8
Choices,Ferry_ConversationA_7930419top,#366765412,How would you know?,どうやって知るの？,どうやって知る？,9
Choices,Ferry_ConversationA_6380620left,#252329607,That wasn't me,それは私じゃない,それは私ではなかったです,10
Choices,Ferry_ConversationA_6380620right,#891542012,Oh yeah...,そうそう...,そうそう...,11
Choices,Ferry_ConversationA_6380620top,#659421723,They're in love.,恋してる,彼らは恋にしています。,12
Choices,Ferry_ConversationA_3641382right,#994656586,Kinda...,ちょっと...,ちょっと...,13
Choices,Ferry_ConversationA_3641382top,#802680283,"YES, it's weird.",うん、それは奇妙ね,YES、それは奇妙です。,14
Choices,Ferry_ConversationA_2812028left,#252095656,A step-brother.,腹違いの兄弟。,ステップ-弟。,15
Choices,Ferry_ConversationA_2812028right,#442686389,A roommate.,ルームメイト。,ルームメイト。,16
Choices,Ferry_ConversationA_2812028top,#121747072,Just some guy.,ただの男。,ただ、いくつかの男。,17
Choices,Ferry_ConversationA_1957739left,#759738482,"No, THAT'S weird.",いや、それは変ね。,いいえ、それは奇妙です。,18
Choices,Ferry_ConversationA_1957739right,#776105690,"Yeah, it's nice.",うん、それはうれしい。,うん、それはうれしいです。,19
Choices,Ferry_ConversationA_1957739top,#798493058,"Sure, whatever.",ああ、いいよ。,何でも、確かに。,20
Choices,Ferry_ConversationA_8355801left,#760319524,"Ahhhhhh, stop!",あーーー、ストップ！,Ahhhhhh、停止！,21
Choices,Ferry_ConversationA_8355801right,#424350886,How I've tried to forget.,忘れようとしたけど,どのように私は忘れることを試みてきました。,22
Choices,Ferry_ConversationA_8355801top,#264907769,"Best buds, clearly.",親友よ、確かに,ベスト芽、明らかに。,23
Choices,Ferry_ConversationA_4976518left,#602943089,"Yes, please don’t. ",うん、やめて。,はい、しないでください。,24
Choices,Ferry_ConversationA_4976518right,#339423573,"No, what happened?  ",え、何があったの？,いいえ、何が起こったのか？,25
Choices,Ferry_ConversationA_9549548left,#113699323,This is so familiar...,よく知ってる,これはとてもよく知っています...,26
Choices,Ferry_ConversationA_9549548right,#671136453,Huh?,えっ？,えっ？,27
Choices,Ferry_ConversationA_9120240top,#825851336,He got lost in some gardens...,庭で迷子になった……,彼はいくつかの庭園の中に失われてしまいました...,28
Choices,Ferry_ConversationA_478812top,#406040306,We didn’t talk about this already?,まだ、話してなかったっけ？,我々はすでにこのことについて話をしませんでしたか？,29
Choices,Ferry_ConversationB_1863376left,#473298194,Why?,,どうして？,30
Choices,Ferry_ConversationB_1863376right,#963285454,Fine.,,ファイン。,31
Choices,Ferry_ConversationB_1863376top,#628328612,Great!,,すばらしいです！,32
Choices,Ferry_ConversationB_2255630left,#140004166,Who’s talking? ,,誰が話しているの？,33
